"X--Trace 1::[V(Probe1), Nominal Run]","Y--Trace 1::[V(Probe1), Nominal Run]",,"X--Trace 2::[V(Probe1), Worst Case Run]","Y--Trace 2::[V(Probe1), Worst Case Run]"
50,0.387926,,50,0.391807
69.697,0.387921,,69.697,0.391804
89.3939,0.387915,,89.3939,0.3918
109.091,0.387907,,109.091,0.391795
128.788,0.387898,,128.788,0.391789
148.485,0.387887,,148.485,0.391782
168.182,0.387875,,168.182,0.391774
187.879,0.387861,,187.879,0.391765
207.576,0.387845,,207.576,0.391755
227.273,0.387828,,227.273,0.391744
246.97,0.387809,,246.97,0.391732
266.667,0.387789,,266.667,0.39172
286.364,0.387767,,286.364,0.391706
306.061,0.387744,,306.061,0.391691
325.758,0.387719,,325.758,0.391675
345.455,0.387693,,345.455,0.391658
365.152,0.387665,,365.152,0.39164
384.848,0.387636,,384.848,0.391622
404.545,0.387605,,404.545,0.391602
424.242,0.387573,,424.242,0.391581
443.939,0.387539,,443.939,0.391559
463.636,0.387503,,463.636,0.391537
483.333,0.387467,,483.333,0.391513
503.03,0.387428,,503.03,0.391488
522.727,0.387388,,522.727,0.391463
542.424,0.387347,,542.424,0.391436
562.121,0.387304,,562.121,0.391409
581.818,0.38726,,581.818,0.39138
601.515,0.387214,,601.515,0.391351
621.212,0.387166,,621.212,0.39132
640.909,0.387118,,640.909,0.391289
660.606,0.387067,,660.606,0.391257
680.303,0.387015,,680.303,0.391224
700,0.386962,,700,0.391189
719.697,0.386908,,719.697,0.391154
739.394,0.386852,,739.394,0.391118
759.091,0.386794,,759.091,0.391081
778.788,0.386735,,778.788,0.391043
798.485,0.386675,,798.485,0.391004
818.182,0.386613,,818.182,0.390965
837.879,0.386549,,837.879,0.390924
857.576,0.386485,,857.576,0.390882
877.273,0.386419,,877.273,0.39084
896.97,0.386351,,896.97,0.390796
916.667,0.386282,,916.667,0.390752
936.364,0.386212,,936.364,0.390706
956.061,0.386141,,956.061,0.39066
975.758,0.386068,,975.758,0.390613
995.455,0.385993,,995.455,0.390565
1015.15,0.385917,,1015.15,0.390516
1034.85,0.38584,,1034.85,0.390466
1054.55,0.385762,,1054.55,0.390416
1074.24,0.385682,,1074.24,0.390364
1093.94,0.385601,,1093.94,0.390312
1113.64,0.385519,,1113.64,0.390258
1133.33,0.385435,,1133.33,0.390204
1153.03,0.38535,,1153.03,0.390149
1172.73,0.385264,,1172.73,0.390093
1192.42,0.385176,,1192.42,0.390037
1212.12,0.385087,,1212.12,0.389979
1231.82,0.384997,,1231.82,0.38992
1251.52,0.384906,,1251.52,0.389861
1271.21,0.384813,,1271.21,0.389801
1290.91,0.384719,,1290.91,0.38974
1310.61,0.384624,,1310.61,0.389678
1330.3,0.384528,,1330.3,0.389615
1350,0.38443,,1350,0.389552
1369.7,0.384331,,1369.7,0.389488
1389.39,0.384231,,1389.39,0.389422
1409.09,0.38413,,1409.09,0.389357
1428.79,0.384028,,1428.79,0.38929
1448.48,0.383924,,1448.48,0.389222
1468.18,0.383819,,1468.18,0.389154
1487.88,0.383714,,1487.88,0.389085
1507.58,0.383607,,1507.58,0.389015
1527.27,0.383498,,1527.27,0.388944
1546.97,0.383389,,1546.97,0.388873
1566.67,0.383279,,1566.67,0.388801
1586.36,0.383167,,1586.36,0.388728
1606.06,0.383055,,1606.06,0.388654
1625.76,0.382941,,1625.76,0.388579
1645.45,0.382826,,1645.45,0.388504
1665.15,0.38271,,1665.15,0.388428
1684.85,0.382594,,1684.85,0.388351
1704.55,0.382476,,1704.55,0.388274
1724.24,0.382357,,1724.24,0.388196
1743.94,0.382237,,1743.94,0.388117
1763.64,0.382116,,1763.64,0.388037
1783.33,0.381994,,1783.33,0.387957
1803.03,0.381871,,1803.03,0.387876
1822.73,0.381747,,1822.73,0.387794
1842.42,0.381622,,1842.42,0.387711
1862.12,0.381496,,1862.12,0.387628
1881.82,0.381369,,1881.82,0.387544
1901.52,0.381242,,1901.52,0.38746
1921.21,0.381113,,1921.21,0.387375
1940.91,0.380983,,1940.91,0.387289
1960.61,0.380853,,1960.61,0.387202
1980.3,0.380721,,1980.3,0.387115
2000,0.380589,,2000,0.387027
